sample_id,Title,Body,Category
30,Wintertime ozone pollution in Utah oil and gas fields explained,"The study comes at a time when new technologies are helping to accelerate oil and gas development in Utah's Uintah Basin, elsewhere in the United States and in many other countries, and its findings may help air quality managers determine how to best minimize the impact of ozone pollution.When ozone levels spike, Environmental Protection Agency (EPA) experts recommend that people, especially those in sensitive groups -- children, the elderly, and anyone with pre-existing respiratory conditions -- limit time outdoors.Winter ozone pollution is surprising because normally, the more intense sunlight of the summer season can spark the chemical reactions that create ozone pollution, said lead author Peter Edwards, a scientist with NOAA's Cooperative Institute for Research in Environmental Sciences (CIRES) at the University of Colorado Boulder at the time of the study, and now with University of York in England.However, Edwards and his colleagues showed that in winter in northeastern Utah, levels of volatile organic compounds (VOCs) build high enough that they can trigger pollution-forming reactions themselves. In winter, warm air aloft can trap cold air below, creating an inversion that concentrates VOCs. The presence of snow increases light reflection and accelerates ozone production.For instance, in 2013, ozone in Ouray, Utah, exceeded the national air quality standards 49 times during the winter season. By contrast, in the densely populated, urban area of Riverside, California, the standards were exceeded about half that amount that same year, but during the summer.""So it's the same starting ingredients, nitrogen oxides and VOCs, that form ozone in Riverside, but it's a different spark in Utah in winter,"" said coauthor Steven Brown, a scientist with NOAA's Earth System Research Laboratory in Boulder, Colorado. ""Under wintertime conditions, the much higher VOCs in Utah break down to make carbonyl compounds, which set off the ozone production.""The research is based on data collected in a series of wintertime studies in Uintah Basin led by James Roberts, of NOAA's ESRL. ""We encountered a range of conditions during the three winters, from snowy in 2013 and 2014, to virtually no snow in 2012,"" said Roberts. ""Oil and gas emissions of VOCs were high in all three years, but high ozone occurred only in the cold, snowy stagnant periods.""Researchers from NOAA, CIRES, and other institutions made detailed measurements of ozone and the chemical ingredients, such as VOCs and nitrogen oxides, that ""cook up"" into the pollutant, and they used chemical models to better understand the chemistry behind the wintertime ozone formation.""These studies in Utah have caused us to think about air pollution chemistry a little differently,"" said coauthor Joost de Gouw, a researcher with CIRES working at NOAA ESRL. ""Our findings could help state and local air quality managers who are faced with ozone episodes to design policies, and industry representatives to meet air quality standards in the regions where they operate.""",Ozone Holes
31,"Ways to encourage 'refuge' planting, slow resistance to Bt crops","For about 20 years, growers have made use of Bt crops to limit crop damage from pests. Bt crops, including corn, are genetically engineered to produce proteins from the Bacillus thuringiensis (Bt) bacterium. These proteins are harmless to vertebrates, but toxic to a specific class of invertebrate crop pests.To date, these Bt crops have been remarkably successful. However, insect pests have shown the ability to evolve resistance to Bt proteins. In order to slow down the development of Bt resistance, farmers who plant Bt crops are urged to plant a certain percentage of their fields with non-Bt crops -- called refuge crops. In fact, in the case of Bt corn, farmers are required to plant a section of their fields with refuge crops.That's because refuge crops provide fodder for insect pests that are not resistant to Bt proteins. These pests are then able to breed with their Bt-resistant counterparts, diluting Bt resistance in the overall pest population.But compliance with planting refuge crops is variable. Some growers plant too little of their fields with Bt crops, and some don't plant refuge crops at all.This raised some interesting questions for Dominic Reisig, an associate professor of entomology at NC State and an extension specialist at the Vernon James Research & Extension Center in eastern North Carolina. Reisig divides his time between conducting research and helping farmers deal with problems related to insect crop pests. Recently, Reisig began to wonder: How many growers aren't planting sufficient refuge crops? Do growers understand the rationale behind refuge crops? What can influence whether growers plant refuge crops? And what factors affect a grower's willingness to plant refuge crops?To address these questions, Reisig talked with several hundred corn growers in more than a dozen counties in eastern North Carolina.Reisig found that approximately 40 percent of corn growers who used Bt corn would not plant refuge crops in the next growing season, while another 25 percent weren't sure. However, a majority of growers did understand the value of refuge crops -- and felt they should be planting them.Reisig also found that there was a high correlation between how much land was devoted to corn, cotton and soybeans in a county, and how likely farmers in that county were to plant refuge crops. The more land being devoted to crops, the more likely farmers were to plant refuge.""Some of the resistance to planting refuge may be due to a lack of understanding about how important refuge crops are,"" Reisig says. ""But it's also likely to be a function of the fact that many of the farms in counties with low refuge crop compliance are smaller operations. Growers may simply be trying to get more crop yield from their acreage -- though there is little evidence of short-term benefit, and ample evidence of long-term risk from Bt-resistant pests.""Reisig also found that better enforcement and peer pressure from other farmers weren't seen as making farmers more likely to plant refuge crops. Instead, growers said that financial incentives -- such as rebates on non-Bt seed -- would make them more likely to plant refuge crops, as would the availability of high-yield non-Bt seed.""This study is really a starting point,"" Reisig says. ""We know this is a problem. I'm looking for partners in the social sciences to help me figure out how we can help growers make informed decisions and protect the long-term viability of their crops.""",Genetically Modified
32,Research team argues for combining organic farming and genetic engineering,"In May 2020, the EU Commission presented its ""Farm-to-Fork"" strategy, which is part of the ""European Green Deal."" The aim is to make European agriculture and its food system more sustainable. In particular, the proportion of organic farming in the EU's total agricultural land is to be increased to 25 percent by 2030. However, if current EU legislation remains in place, this increase will by no means guarantee more sustainability, as the current study by scientists from Bayreuth, Göttingen, Düsseldorf, Heidelberg, Wageningen, Alnarp, and Berkeley shows.Numerous applications derived from new biotechnological processes are severely restricted or even banned by current EU law. This is especially true for gene editing, a new precision tool used in plant breeding. ""Expanding organic farming further under the current legal restrictions on biotechnology could easily lead to less sustainability instead of more. Yet gene editing in particular offers great potential for sustainable agriculture,"" says Kai Purnhagen, lead author of the study and Professor of German & European Food Law at the University of Bayreuth.Organic farming focuses on greater farming diversity and prohibits the use of chemical fertilisers and pesticides. Therefore, it can have a beneficial effect on environmental protection and biodiversity at the local level. However, compared to conventional farming, organic farming also delivers lower yields. Consequently, more land is needed to produce the same amount of high-quality food. ""As global demand for high-quality food increases, more organic farming in the EU would lead to an expansion of agricultural land elsewhere in the world. This could easily result in environmental costs that exceed any local environmental benefits in the EU, as the conversion of natural land into agricultural land is one of the biggest drivers of global climate change and biodiversity loss,"" says co-author Matin Qaim, Professor of Agricultural Economics at the University of Göttingen.The combination of organic farming and modern biotechnology could be a way to resolve this dilemma. ""Gene editing offers unique opportunities to make food production more sustainable and to further improve the quality, but also the safety, of food. With the help of these new molecular tools, more robust plants can be developed that deliver high yields for high-quality nutrition, even with less fertiliser,"" says co-author Stephan Clemens, Professor of Plant Physiology at the University of Bayreuth and founding Dean of the new Faculty of Life Sciences: Food, Nutrition & Health on the Kulmbach campus. In addition, gene editing is used to breed fungus-resistant plants that thrive under organic farming without copper-containing pesticides. Copper is particularly toxic to soil and aquatic organisms, but its use to control fungi is nevertheless permitted in organic farming because of the lack of non-chemical alternatives to date. ""Organic farming and gene editing could therefore complement each other very well and, combined, could contribute to more local and global sustainability,"" says Qaim.However, the use of genetic engineering in organic farming requires legal changes at the EU level. ""There is certainly no political majority for this at present, because genetic engineering is viewed very critically by many. Yet perhaps improved communication could gradually lead to greater societal openness, at least towards gene editing, because this form of genetic engineering enables very targeted breeding without having to introduce foreign genes into the plants. Highlighting this point could dispel many of the widespread fears of genetic engineering,"" says Purnhagen.",Climate
33,"At least six major earthquakes on the Alhama de Murcia fault in the last 300,000 years","Since 2001, researchers from the Universities of Barcelona, Leon, Complutense de Madrid (UCM), Coimbra (Portugal), Aahus (Denmark) and the National Autonomous University of Mexico have been working on the Alhama de Murcia fault in order to identify those high magnitude earthquakes that have occurred during the Quaternary period -- the most recent of geological ages.""Due to lack of information, up until just ten years ago there were no geological data on paleoseismic activity for the active faults in Spain and very little had been invested in studying their geology. The evidence used to understand active faults came merely from historical seismic records that hardly collected data on the largest of earthquakes related to these faults. As geology can go even further back in time, the earthquakes that we have found are bigger and of a greater magnitude,"" as explained by Jose J. Martínez Díaz, researcher at the UCM and coauthor of the study published in the journal This fault is a fracture plane of the land that crosses the entire earth's crust. Therefore, to identify the prehistoric earthquakes in its walls, scientists had to make surface excavations perpendicular to the fault (trenches of between 20 and 30 metres long and 4 metres deep). This allowed for them to take an exceptionally extensive paleoseismic record.As Martínez adds, ""when large earthquakes exceed magnitude 6, they usually break at the surface and as a result, we have been able to identify this in their walls."" These tectonic deformations were dated using carbon-14 and infrared stimulated luminescence techniques.In order to understand the behavioural patterns of the Alhama de Murcia fault, the researchers had to reconstruct hundreds of thousands of years ""much more than the Americans or the Japanese, who can understand their fault patterns by studying just 10 thousand years.""This is because faults in Spain are slow-moving and there is therefore much more time between major earthquakes (to the tune of thousands of years) compared to much faster-moving faults like San Andreas in California. According to their estimations, the Alhama fault would be created more than 9 million years ago and would have caused earthquakes from the outset thus shaping the landscape of the region.""It was in our interest to detect the seismic activity from the Quaternary period, or, in other words, earthquakes that occurred more than 1.8 million years ago. In total, we have identified a minimum of six earthquakes of high magnitude during the period studied (more than 300,000 years) but we know that the real number is actually much higher. In some cases, sedimentary evidence could have disappeared or maybe they can be found in parts of the fault that have yet to be studied,"" outlines the researcher.Another revelation according to the article is that the area could suffer from a stronger earthquake than originally thought. ""During earthquakes, the entire length of the fault does not break. It does so in segments. We have proven that this fault could break at once at the two western segments, from Góñar (Almería) to Totana (Murcia) causing at the same time an earthquake of a magnitude above 7,"" explains Martínez.""This fault has already produced an earthquake of magnitude 6.5 or 7 thousands of years ago, and could do so again tomorrow. As a result, it is vital to bear in mind the earthquake risk calculations and building codes on the area,"" outline the researchers.The seismic hazard map forming the basis of the Spanish Seismic Resistance Construction Standard assigns the area of Lorca with a maximum acceleration for construction design of 0.19 g. However, the recent earthquake reached a magnitude of 5.2 and generated a much higher acceleration of 0.36 g.""The area's hazard level was underestimated because until now estimations have been based on the historical earthquake catalogue which only records events from the last 2000 years,"" points out Martínez. The researcher believes that the fault activity parameters obtained through paleoseismic studies like this can help to improve risk calculations.But will they be capable of predicting the next high magnitude movement? The authors stress that it is indeed possible to determine the maximum magnitude as well as the location of the earthquake. However, at present there is still no way of predicting the moment it will strike, as this involves a complex geological phenomenon governed by non-linear physical processes.""Earthquakes like the one in Lorca and ones before produce fault stress changes which increase in certain points of the fault. We know this thanks to models and results that we have published from previous studies. The next earthquake is more likely to occur in these areas. However, estimating when is impossible,"" ensures the scientist.With regards to the study recently published in the ""There is much scientific discussion on the matter, we are part of various groups that have been working in the area for some time and I am not the only one who is sceptic of the idea. The 2011 earthquake in Lorca was similar to those that took place in 1674 and 1818 at a time when aquifer exploitation was not practiced. I believe that there is no need to search for any unusual reason behind the earthquake. It was down to the fault's natural tectonic evolution. It was a completely normal earthquake from a geological point of view -- the small magnitude kind which occurs on a fault every so often,"" concludes Martínez.",Earthquakes
34,Hurricanes Growing More Fierce Over Past 30 Years,"In his new analysis of tropical hurricane records, which he reportsonline today in the journal Nature, Emanuel finds that both theduration of the storms and their maximum wind speeds have increased byabout 50 per cent since the mid-1970s. Moreover, this marked increasein the energy release has occurred in both the north Atlantic and thenorth Pacific Oceans.Unlike previous studies, which have focused on whether hurricanesare becoming more frequent, Emanuel's study is one of the first to askwhether they are becoming more fierce.""It's an innovative application of a theoretical concept, and hasproduced a new analysis of hurricanes' strength and destructivepotential,"" says Jay Fein, director of the National Science Foundation(NSF)'s climate dynamics program, which funded the research. And thatanalysis, in turn, ""has resulted in an important measure of thepotential impact of hurricanes on social, economic and ecologicalsystems,""Indeed, as Emanuel himself says, ""the near doubling of hurricane'spower over the period of record should be a matter of some concern, asit's a measure of the [future] destructive potential of these storms.""Also of concern, he says, is that the increases in storm intensityare mirrored by increases in the average temperatures at the surface ofthe tropical oceans, suggesting that this warming is responsible forthe hurricanes' greater power. Since hurricanes depend on warm water toform and build, Emanuel warns that global climate change might increasethe effect of hurricanes still further in coming years.In addition, he says, recent research suggests that global tropicalhurricane activity may play a role in driving the oceans' circulation,which in turn has important ""feedbacks"" to regional and global climate.Fluctuations in tropical hurricane activity ""are of obviousimportance to society,"" he adds, ""especially as populations of affectedareas increase. Hurricanes account for a significant fraction ofdamage, injury and loss of life from natural hazards, and are thecostliest natural catastrophes in the United States. As the humanpopulation in coastal regions gets denser, the damage and casualtiesproduced by more intense storms could increase considerably in thefuture.""",Hurricanes Cyclones
35,Ancient Amazonian farmers fortified valuable land they had spent years making fertile to protect it,"Farmers in Bolivia constructed wooden defences around previously nutrient-poor tropical soils they had enriched over generations to keep them safe during times of social unrest.These long-term soil management strategies allowed Amazonians to grow nutrient demanding crops, such as maize and manioc and fruiting trees, and this was key to community subsistence. These Amazonian Dark Earths, or It was known that some communities built ditches and embankments, known locally as a Excavations, at the Versalles archaeological site along the Iténez River in the Bolivian Amazon, provide the first archaeological evidence that communities in the region built wooden palisades along with earthworks. The construction circles the outer perimeter of the village, enclosing and protecting homes and the enriched soil and forest.Researchers had long speculated on the function of the Archaeological analysis show that those living in Versalles began enriching soils around 500 BC. After almost two millennia, the The research, published in the journal Dr Robinson said: ""This is further evidence the Amazon is not a pristine place, untouched by human hands. People have had a great impact on the ecology of the rainforest. Communities invested heavily, generation after generation, to enrich the natural resources around them. As broad Amazon-wide social-unrest spread, the community felt the need to protect the resources into which they and their ancestors had invested so much.""",Environment
36,Efficient cryopreservation of genetically modified rat spermatozoa,"To improve cryopreservation methods, Professor Nakagata and Dr. Takeo of the Center for Animal Resources and Development (CARD) at Kumamoto University, Japan have been searching for methods to retain sperm mobility after thawing. They knew that the freezing process significantly reduced sperm motility, so they attempted to chill the sperm first to reduce movement as much as possible before freezing.They tested their cryopreservation method on a type of genetically modified rat (EGFP rat) sperm that emits green fluorescence and then used it for in vitro fertilization. Surprisingly, the fertilization rate exceeded 80% and the experiment successfully produced over 300 offspring from the sperm of one male rat.Sperm cryopreservation is easier than the cryopreservation of fertilized eggs, and many cells (50 -- 100 million) can be obtained from a single male rat. In recent years, genetically modified rats useful for human disease research have been produced using genome editing technology. This indicates that there is a need for an efficient technique to preserve genetically modified rat strains. The cryopreservation technology developed here can provide an efficient storage method of genetically modified rats and could accelerate the development of treatments for intractable diseases. ""Compared to mice, rats are about ten times the size, require a larger housing space, and simply cost more to keep. There is a need to reduce the amount of space they take up and their cost for research labs,"" said Professor Nakagata. ""Our cryopreservation technique is likely to be very useful in the preservation of genetically modified rat strains. We believe that it could become a new global standard for research resources.""",Genetically Modified
37,"Biodiversity on land is not higher today than in the past, study shows","According to a new study led by researchers at the University of Birmingham and involving an international team of collaborators, the number of species within ecological communities on land has increased only sporadically through geological time, with rapid increases in diversity being followed by plateaus lasting tens of millions of years.Previously, many scientists have argued that diversity increased steadily through geological time, which would mean that biodiversity today is much greater than it was tens of millions of years ago. But building an accurate picture of how land diversity was assembled is challenging because the fossil record generally becomes less complete further back in time. By using modern computing techniques, capable of analysing hundreds of thousands of fossils, patterns are starting to emerge that challenge this view.The researchers, from the University of Birmingham's School of Geography, Earth and Environmental Sciences and other institutions in the UK, USA and Australia, were able to study fossil data collected by palaeontologists over the past 200 years at around 30,000 different fossil sites around the globe. The team focused on data from land vertebrates dating back to the very earliest appearance of this group nearly 400 million years ago.They found that the average number of species within ecological communities of land vertebrates have not increased for tens of millions of years. Their results, published in Lead researcher, Dr Roger Close, says: ""Scientists often think that species diversity has been increasing unchecked over millions of years, and that diversity is much greater today than it was in the distant past. Our research shows that numbers of species within terrestrial communities are limited over long timescales, which contradicts the results of many experiments in modern ecological communities -- now we need to understand why.""One reason why diversity within ecological communities does not increase unchecked on long timescales could be because resources used by species, such as food and space, are finite. Competition for these resources may prevent new species invading ecosystems and lead to a balance between rates of speciation and extinction. After the origins of major groups of animals, or large-scale ecological disruptions like mass extinctions, though, increases in diversity may happen abruptly -- on geological, if not human timescales -- and are again followed by long periods where no increases occur.He adds: ""Contrary to what you might expect, the largest increase in diversity within land vertebrate communities came after the mass extinction that wiped out the dinosaurs, 66 million years ago, at the end of the Cretaceous period. Within just a few million years, local diversity had increased to two or three times that of pre-extinction levels -- driven primarily by the spectacular success of modern mammals.""Professor Richard Butler, who was also part of the research team, said ""Our work provides an example of the combined power of the fossil record and modern statistical approaches to answer major questions about the origins of modern biodiversity. By understanding how biodiversity has changed in the past, we may be able to better understand the likely long-term impact of the current biodiversity crisis.""Funded by the European Research Council through the European Union's Horizon 2020 research and innovation programme, the research was led by the University of Birmingham, and also involved researchers from the University of Oxford, Macquarie University, the Smithsonian Institute, the University of Bath, the Natural History Museum, London, Imperial College London, and George Mason University.",Extinction
38,How vitamin C could help over 50s retain muscle mass,"A study published today shows that older people who eat plenty of vitamin C -- commonly found in citrus fruits, berries and vegetables -- have the best skeletal muscle mass.This is important because people tend to lose skeletal muscle mass as they get older -- leading to sarcopenia (a condition characterised by loss of skeletal muscle mass and function), frailty and reduced quality of life.Lead researcher Prof Ailsa Welch, from UEA's Norwich Medical School said: ""As people age, they lose skeletal muscle mass and strength.""People over 50 lose up to one per cent of their skeletal muscle mass each year, and this loss is thought to affect more than 50 million people worldwide.""""It's a big problem, because it can lead to frailty and other poor outcomes such as sarcopenia, physical disability, type-2 diabetes, reduced quality of life and death.""""We know that Vitamin C consumption is linked with skeletal muscle mass. It helps defend the cells and tissues that make up the body from potentially harmful free radical substances. Unopposed these free radicals can contribute to the destruction of muscle, thus speeding up age-related decline.""""But until now, few studies have investigated the importance of Vitamin C intake for older people. We wanted to find out whether people eating more Vitamin C had more muscle mass than other people.""The research team studied data from more than 13,000 people aged between 42-82 years, who are taking part in the EPIC (European Prospective Investigation into Cancer and Nutrition) Norfolk Study.They calculated their skeletal muscle mass and analysed their vitamin C intakes from a seven-day food diary. They also examined the amount of vitamin C in their blood.Dr Richard Hayhoe, also from UEA's Norwich Medical School, said: ""We studied a large sample of older Norfolk residents and found that people with the highest amounts of vitamin C in their diet or blood had the greatest estimated skeletal muscle mass, compared to those with the lowest amounts.""We are very excited by our findings as they suggest that dietary vitamin C is important for muscle health in older men and women and may be useful for preventing age-related muscle loss.""This is particularly significant as Vitamin C is readily available in fruits and vegetables, or supplements, so improving intake of this vitamin is relatively straightforward.""We found that nearly 60 per cent of men and 50 per cent of women participants were not consuming as much Vitamin C as they should, according to the European Food Safety Agency recommendations.""We're not talking about people needing mega-doses. Eating a citrus fruit, such as an orange, each day and having a vegetable side to a meal will be sufficient for most people.""The research was led by the University of East Anglia, in collaboration with the University of Cambridge and Strangeways Research Laboratory in Cambridge, and developed from a UEA medical student project by Lucy Lewis.The EPIC-Norfolk study was supported by grant funding from the Medical Research Council and Cancer Research UK.",Extinction
39,How healthy is genetically modified soybean oil?,"But is that premise true?Just barely, say scientists at the University of California, Riverside and their colleagues at UC Davis. The researchers compared the effects of both oils in experiments performed in the lab on mice. They found that the GM soybean oil is just as unhealthy as regular soybean oil in that it also induces obesity, diabetes and fatty liver. GM soybean oil does, however, have one advantage: it does not cause insulin resistance -- the inability to efficiently use the hormone insulin.""While genetic modification of crops can introduce new beneficial traits into existing crops, the resulting products need to be tested for long-term health effects before making assumptions about their impact on human health,"" said senior investigator Frances Sladek, a professor of cell biology and neuroscience at UC Riverside.Study results will be presented tomorrow, March 6, at the Endocrine Society's 97Naturally high in unsaturated fats, vegetable oils were once thought to be healthy, and were hydrogenated to increase their shelf-life and temperature stability. The hydrogenation, however, generated Soybean oil, the most common vegetable oil used in the United States, contains about 55 percent linoleic acid, a polyunsaturated fat.""Our previous results on mice showed that replacing some of the fat in a diet high in saturated fats from coconut oil with soybean oil -- to achieve a level common in the American diet -- causes significantly more weight gain, adiposity, diabetes and insulin resistance than in mice fed just the high-fat coconut oil diet,"" Sladek said.To determine whether linoleic acid was responsible for the metabolic effects of soybean oil, the researchers designed a parallel diet in which regular soybean oil was replaced, on a per gram basis, with GM soybean oil. The GM soybean oil has a fatty acid composition (low linoleic acid) similar to that of olive oil. The GM plants were developed by DuPont to reduce ""The GM soybean oil has 0 grams Deol and the rest of the research team found to their surprise that the parallel diet containing GM soybean oil induced weight gain and fatty liver essentially identical to that of a diet with regular soybean oil, with the exception that the mice remained insulin sensitive and had somewhat less adipose (fat) tissue.""These results indicate that linoleic acid may contribute to insulin resistance and adiposity but that another as yet unidentified component of the soybean oil affects the liver and overall weight gain,"" Deol said.In their experiments, the researchers gave four groups of mice different diets for 24 weeks. Each group was comprised of 12 mice. The control group received a low-fat diet (5 percent of daily calories from fat). The other groups received a diet with 40 percent of daily calories from fat, an amount common in the American diet. One diet was high in saturated fat from coconut oil, and one had 41 percent of the saturated fat replaced with regular soybean oil. The fourth group had 41 percent of the saturated fat replaced with the GM soybean oil. The body weights, food intake, glucose tolerance and insulin sensitivity of all the mice were tracked.What the researchers found was that mice fed a diet with either of the soybean oils had worse fatty liver, glucose intolerance and obesity than the group that got all their fat from coconut oil. But the mice whose diet included the GM soybean oil had less fat tissue than the animals that ingested regular soybean oil. These mice weighed about 30 percent more than the controls that ate a low-fat diet, while the group on the diet containing regular soybean oil weighed 38 percent more than controls. The mice on the diet that was primarily coconut oil weighed only about 13 percent more than controls. Unlike the diet with regular soybean oil, the diet with the new GM soybean oil did not lead to insulin resistance.""While the GM soybean oil may have fewer negative metabolic consequences than regular soybean oil, it may not necessarily be as healthy as olive oil, as has been assumed by its fatty acid composition, and it is certainly less healthy than coconut oil which is primarily saturated fat,"" Sladek said. ""It is important to understand the metabolic effects and health impact of the GM soybean oil before it is widely adopted as a healthier alternative to regular soybean oil. It is equally important to understand the health effects of regular soybean oil, which is ubiquitous in the American diet and seems to be much more detrimental to metabolic health than saturated fat.""Sladek and Deol were joined in the research by Jane R. Evans, Antonia Rizo and Cynthia Perez at UCR; and Johannes Fahrmann, Dimitry Grapov, Jun Yang and Oliver Fiehn at UC Davis who performed extensive analysis on the liver and blood samples from these mice.""To our knowledge this is the first in-depth analysis of the metabolic effects of GM soybean oil, and the first metabolomics analysis comparing soybean oil -- regular and GM -- to coconut oil,"" Deol said.",Genetically Modified
40,Delays in banning wildlife trade put hundreds of species at risk,"International wildlife authorities will gather in May to vote on wildlife trade restrictions at the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES) Conference of the Parties (CoP). The study suggests concrete steps policymakers can take to speed up a wildlife protection process that can take more than two decades.""New trends in wildlife trade can develop quickly, with some species going from common to near extinction in just a few years,"" said Eyal Frank, a co-author of the study and an assistant professor at the University of Chicago's Harris School of Public Policy. ""A policymaking process needs to respond quickly to new information in order to prevent extinction for hundreds of animals and plants. That's why it's absolutely critical that policymakers allow science to inform a speedy protection process.""Frank and his co-author, David Wilcove from Princeton University, analyzed 958 species on the International Union for the Conservation of Nature's (IUCN) Red List that are endangered by international trade. Of those, they discovered that 28 percent are not protected by CITES, the primary international framework for preventing species extinction due to international wildlife trade.When studying how quickly species from the Red List became protected under CITES, they found that 62 percent needed to wait as long as 19 years for protection under CITES or are still waiting to be listed up to 24 years after being first considered. These patterns are the same for even the most threatened species.At the same time, the study points out that 36 percent of species studied were protected by CITES before making it on the Red List. This could be because the CITES authorities had information not available to the IUCN, or it could be due to staffing and other resource constraints at the IUCN.""CITES and the Red List are two of the most important tools we have to save wildlife threatened by international trade. It's vital that these two institutions work together closely and quickly to stop the killing,"" said Wilcove, who is based at the Princeton Environmental Institute and Princeton's Woodrow Wilson School of Public and International Affairs.Frank and Wilcove recommend that any nation that is part of CITES advocate that Red List species threatened by international trade be quickly protected under the treaty in order to clear the backlog, with the goal being that any threatened species on the Red List that is threatened by trade receive a prompt vote for immediate protection under CITES. Independently from CITES, all countries can use the Red List as a source of information and take measures to protect threatened species found within their borders.",Endangered Animals
41,Air pollution: The silent killer called PM 2.5,"Air pollution varies greatly in different parts of the world. But what about the primary weapons against it? To find answers, researchers from McGill University set out to investigate global air quality standards in a study published in the The researchers focused on air pollution called PM2.5 -- responsible for an estimated 4.2 million premature deaths every year globally. This includes over a million deaths in China, over half a million in India, almost 200,000 in Europe, and over 50,000 in the United States.""In Canada, about 5,900 people die every year from air pollution, according to estimates from Health Canada. Air pollution kills almost as many Canadians every three years as COVID-19 killed to date,"" says co-author Parisa Ariya, a Professor in the Department of Chemistry at McGill University.Among the different types of air pollution, PM2.5 kills the most people worldwide. It consists of particles smaller than approximately 2.5 microns.""We adopted unprecedented measures to protect people from COVID-19, yet we don't do enough to avoid the millions of preventable deaths caused by air pollution every year,"" says Yevgen Nazarenko, a Research Associate at McGill University who conducted the study with Devendra Pal under the supervision of Professor Ariya.The researchers found that where there is protection, standards are often much worse than what the World Health Organization considers safe. Many regions with the most air pollution don't even measure PM2.5 air pollution, like the Middle East. They also found that the weakest air quality standards are often violated, particularly in countries like China and India. In contrast, the strictest standards are often met, in places like Canada and Australia.Surprisingly, the researchers discovered that high population density is not necessarily a barrier to fighting air pollution successfully. Several jurisdictions with densely populated areas were successful in setting and enforcing strict standards. These included Japan, Taiwan, Singapore, El Salvador, Trinidad and Tobago, and the Dominican Republic.""Our findings show that more than half of the world urgently needs protection in the form of adequate PM2.5 ambient air quality standards. Putting these standards in place everywhere will save countless lives. And where standards are already in place, they should be harmonized globally,"" says Nazarenko.""Even in developed countries, we must work harder to clean up our air to save hundreds of thousands of lives every year,"" he says.",Pollution
